Pelvis0,5.836114488,5.349622603,6.507385475,8.541967723,8.758096736
Pelvis2,5.832039646,5.288566367,6.456400716,8.563753212,8.729642268
Pelvis4,5.848235563,5.229797692,6.457459219,8.567620981,8.717333828
Pelvis6,5.866226282,5.179137247,6.499757152,8.555860584,8.70695688
Pelvis8,5.872425652,5.125232587,6.550864245,8.551095775,8.678906771
Pelvis10,5.878714955,5.082938259,6.600653352,8.550335152,8.647689029
Pelvis12,5.887766874,5.057605572,6.624050345,8.548365884,8.613001661
Pelvis14,5.896676161,5.051699072,6.625580551,8.533317403,8.567089691
Pelvis16,5.895153733,5.055511114,6.601891027,8.504981371,8.534846706
Pelvis18,5.868591951,5.061600582,6.57057556,8.479937447,8.516347854
Pelvis20,5.812029313,5.061602939,6.547800302,8.463760659,8.493835392
Pelvis22,5.735542738,5.049246262,6.529593438,8.46155512,8.464488414
Pelvis24,5.648649675,5.02681448,6.512306574,8.459290021,8.430881521
Pelvis26,5.557715945,4.998461682,6.516648874,8.461308277,8.399809209
Pelvis28,5.471270224,4.971865301,6.529269315,8.459478475,8.371254446
Pelvis30,5.407524263,4.955666365,6.534005123,8.453503975,8.366040552
Pelvis32,5.360855604,4.953828261,6.538183205,8.449595718,8.387572426
Pelvis34,5.328433193,4.964583171,6.557340742,8.440936956,8.41752906
Pelvis36,5.32114318,4.993316724,6.593475221,8.447510293,8.453392937
Pelvis38,5.329825613,5.043878126,6.634172752,8.484787106,8.496153345
Pelvis40,5.350012618,5.101649712,6.678791704,8.538902323,8.541469773
Pelvis42,5.372506907,5.163643522,6.710351428,8.585605661,8.578554147
Pelvis44,5.416041159,5.217847047,6.722111895,8.619062,8.607353673
Pelvis46,5.473478644,5.245241042,6.726072899,8.639643796,8.622384162
Pelvis48,5.531191281,5.242445982,6.723018437,8.641719612,8.629454589
Pelvis50,5.582579958,5.234556804,6.719416738,8.613193299,8.632083361
Pelvis52,5.634290873,5.226231704,6.737381542,8.571012904,8.624922103
Pelvis54,5.683002512,5.211475171,6.775513453,8.542993043,8.62754302
Pelvis56,5.722254862,5.200281502,6.833455065,8.538451598,8.647928978
Pelvis58,5.767344508,5.203536654,6.883501714,8.537842831,8.691773754
Pelvis60,5.818236349,5.221522437,6.908175271,8.543987228,8.748242593
Pelvis62,5.869422535,5.253931968,6.928097463,8.558411984,8.803181351
Pelvis64,5.902506572,5.293584833,6.930133543,8.569828089,8.848101439
Pelvis66,5.914051088,5.333067286,6.927239391,8.571816484,8.875141943
Pelvis68,5.910967867,5.350675134,6.92981444,8.555312332,8.884312132
Pelvis70,5.888653998,5.342945001,6.927224011,8.531137737,8.884294836
Pelvis72,5.846569783,5.313316311,6.907725845,8.504721052,8.866248098
Pelvis74,5.791444521,5.268741145,6.877250554,8.492263608,8.83681952
Pelvis76,5.733446441,5.215111047,6.858579163,8.479695557,8.817972934
Pelvis78,5.670313641,5.156182092,6.831488304,8.474006653,8.801947194
Pelvis80,5.608292656,5.104347671,6.786672755,8.48919239,8.77757615
Pelvis82,5.566820806,5.072921134,6.754638824,8.51434578,8.767876264
Pelvis84,5.560070745,5.064003404,6.745240071,8.543885643,8.776432109
Pelvis86,5.580468743,5.077756495,6.735500916,8.571055412,8.790437622
Pelvis88,5.625249955,5.109401306,6.723694038,8.600569414,8.798888138
Pelvis90,5.682775665,5.161417557,6.718047965,8.61855488,8.805625303
Pelvis92,5.739344967,5.217746931,6.708743837,8.609878575,8.808124393
Pelvis94,5.774176189,5.252326603,6.687324572,8.581761245,8.82393488
Pelvis96,5.793246614,5.266087661,6.664363791,8.547026185,8.84822673
Pelvis98,5.807089543,5.262189534,6.645467669,8.526043658,8.854531288
Pelvis100,5.829483279,5.245337623,6.627323512,8.51844229,8.838563482
Hip0,7.444763735,6.646867174,6.464367416,9.323024204,9.079950032
Hip2,7.542943681,6.813821261,6.571369421,9.388362246,9.148591219
Hip4,7.82623451,7.053152489,6.774266612,9.582654131,9.258639551
Hip6,8.147030498,7.294200128,6.988931004,9.864447671,9.383276653
Hip8,8.375190071,7.455791522,7.168456586,10.18037041,9.483330299
Hip10,8.528707026,7.522475833,7.291277735,10.4376815,9.571711684
Hip12,8.591422652,7.522987168,7.369662808,10.63598376,9.632757006
Hip14,8.566221054,7.471124149,7.44274475,10.75307127,9.656076675
Hip16,8.4605233,7.382763654,7.484699737,10.80004257,9.658098127
Hip18,8.292835902,7.270636623,7.487936667,10.78952884,9.656594947
Hip20,8.092918675,7.153027722,7.497031722,10.74884259,9.656524941
Hip22,7.871802871,7.044123337,7.531074123,10.72430105,9.674324434
Hip24,7.62893659,6.952837831,7.591672621,10.7059558,9.711201197
Hip26,7.383121426,6.878931377,7.674652773,10.73063041,9.76904008
Hip28,7.170610169,6.837479563,7.775634891,10.78456478,9.857265406
Hip30,7.027586359,6.822991328,7.908768713,10.86357021,9.984817748
Hip32,6.960965314,6.841449604,8.065890758,10.94606111,10.13981994
Hip34,6.955596641,6.896837901,8.250670802,11.00388183,10.32186058
Hip36,6.980874639,6.975001973,8.450114528,11.06471433,10.53902861
Hip38,7.008255169,7.07079636,8.661809834,11.13805208,10.76774875
Hip40,7.030708855,7.162474513,8.894871916,11.18982074,10.99147397
Hip42,7.054583446,7.253240553,9.14900117,11.21215154,11.1933649
Hip44,7.075125826,7.32721833,9.391009436,11.16917177,11.36865061
Hip46,7.095477385,7.381939026,9.606259696,11.11611836,11.51359305
Hip48,7.109713139,7.414209062,9.790356813,11.10513604,11.62093718
Hip50,7.122721783,7.420370206,9.921024763,11.11313387,11.68612047
Hip52,7.142659318,7.40501244,9.994976193,11.1277428,11.70899205
Hip54,7.170517231,7.384671052,10.02119612,11.13731981,11.69520892
Hip56,7.213984692,7.368326717,9.995733727,11.11933738,11.62379272
Hip58,7.310097483,7.380829327,9.881892683,11.0942754,11.51542805
Hip60,7.480599738,7.419397923,9.688156471,11.0975271,11.37419783
Hip62,7.73813552,7.470748418,9.476984693,11.15085145,11.22430785
Hip64,8.055713326,7.541919132,9.265138608,11.22665675,11.06112617
Hip66,8.413145243,7.646875647,9.069470856,11.33688996,10.91953968
