Pelvis Tilt,Obiliquity,Rotation,Hip Flexion,Ab/Aduction,Rotation,Knee Flexion/Ex,Varus/valgus,rotation ,PlantarDorsi,foot rotation,foot progression
10.49674034,-3.017021894,-3.294213057,19.37495995,-6.64986515,-3.709564924,60.25666046,-0.336097389,2.02797389,-6.172541142,-1.49911499,-11.96953964
10.62530041,-2.388930082,-2.990365982,22.81241989,-5.908584118,-3.319777012,60.3887291,0.35463649,1.085348964,-2.835958958,-1.917008996,-13.14476967
10.74429989,-1.722645998,-2.603435993,25.88702965,-5.152657032,-2.950726986,59.02021027,1.14437604,0.072873332,-0.129838899,-2.074609995,-13.93385029
10.85109043,-1.065212011,-2.127017021,28.53005028,-4.450139999,-2.642608881,56.2533989,1.92078197,-0.981564701,1.899615049,-2.178586006,-14.50662041
10.94787979,-0.467244714,-1.570873976,30.69647026,-3.852061033,-2.439029932,52.20462036,2.548238039,-2.145951033,3.287187099,-2.230324984,-14.98381996
11.03641987,0.03266,-0.944883585,32.34957123,-3.381045103,-2.393843889,47.00989914,2.908267021,-3.399733067,4.073740959,-2.185398102,-15.39344025
11.12520027,0.412179887,-0.261728197,33.49649811,-3.03688097,-2.600131989,40.85231018,2.900135994,-4.667771816,4.323618889,-1.86323595,-15.6195097
11.22171974,0.666165411,0.450617611,34.16548157,-2.805517912,-3.040133953,33.94794846,2.578932047,-5.825109005,4.128797054,-1.154114962,-15.51933956
11.32252979,0.819345713,1.194244981,34.42131042,-2.660953045,-3.784907103,26.65519905,2.000565052,-6.631416798,3.686219931,-0.08046376,-14.98453999
11.42362976,0.889719129,1.929527998,34.37480164,-2.581511974,-4.718335152,19.47053909,1.36025703,-6.997691154,3.219994068,1.245249987,-14.02884007
11.51019955,0.926361978,2.642800093,34.13348007,-2.521439075,-5.575465202,12.99316978,0.824278712,-7.041989803,2.868123055,2.566286087,-12.78194046
11.56179047,0.971774876,3.295295,33.82276154,-2.441806078,-6.101467133,7.890207767,0.489979088,-6.994505882,2.604015112,3.664613008,-11.45631981
11.56194019,1.065446019,3.855664015,33.56465912,-2.285083055,-6.256984234,4.730745792,0.289058506,-6.761352062,2.309911966,4.206683159,-10.24001026
11.50049973,1.251212955,4.302007198,33.40319824,-1.992444992,-6.05945015,3.717948914,0.175040796,-6.404878139,1.72576201,4.144322872,-9.237510681
11.37310982,1.556259036,4.60973978,33.31890106,-1.496507049,-5.629769802,4.646971226,0.097829998,-5.820212841,0.694426417,3.528075933,-8.383497238
11.18826008,1.979827046,4.775875092,33.20967865,-0.786722183,-4.963513851,6.932269096,0.060705051,-4.934930801,-0.72030282,2.347590923,-7.572985172
